"|","|__S.NO","|__DISTRICT","|__TOTAL_POSITIVE_CASES_AS_ON_30.03.2021","|__DISCHARGED_CASES_AS_ON_30.03.2021","|__ACTIVE_CASES_AS_ON_30.03.2021","|__DEATH_CASES_AS_ON_30.03.2021"
"ROW1","1","Ariyalur","4812","4724","39","49"
"ROW2","2","Chengalpattu","56073","53692","1566","815"
"ROW3","3","Chennai","248031","237900","5895","4236"
"ROW4","4","Coimbatore","58679","56599","1387","693"
"ROW5","5","Cuddalore","25655","25112","253","290"
"ROW6","6","Dharmapuri","6773","6662","56","55"
"ROW7","7","Dindigul","11856","11507","148","201"
"ROW8","8","Erode","15316","14986","180","150"
"ROW9","9","Kallakurichi","10946","10817","21","108"
"ROW10","10","Kancheepuram","30483","29596","430","457"
"ROW11","11","Kanniyakumari","17507","17054","190","263"
"ROW12","12","Karur","5639","5535","52","52"
"ROW13","13","Krishnagiri","8441","8193","129","119"
"ROW14","14","Madurai","21778","21027","286","465"
"ROW15","15","Nagapattinam","9122","8677","306","139"
"ROW16","16","Namakkal","12093","11840","142","111"
"ROW17","17","Nilgiris","8648","8468","130","50"
"ROW18","18","Perambalur","2305","2280","4","21"
"ROW19","19","Pudukkottai","11852","11612","80","160"
"ROW20","20","Ramanathapuram","6550","6375","38","137"
"ROW21","21","Ranipet","16453","16141","122","190"
"ROW22","22","Salem","33436","32670","298","468"
"ROW23","23","Sivaganga","6983","6755","101","127"
"ROW24","24","Tenkasi","8699","8459","79","161"
"ROW25","25","Thanjavur","19636","18792","574","270"
"ROW26","26","Theni","17291","17031","53","207"
"ROW27","27","Thoothukudi","16538","16298","97","143"
"ROW28","28","Tiruchirappalli","15558","15088","286","184"
"ROW29","29","Tirunelveli","16058","15695","148","215"
"ROW30","30","Tirupathur","7799","7582","89","128"
"ROW31","31","Tiruppur","19269","18692","351","226"
"ROW32","32","Tiruvallur","45920","44637","573","710"
"ROW33","33","Tiruvannamalai","19674","19317","72","285"
"ROW34","34","Tiruvarur","11966","11519","333","114"
"ROW35","35","Vellore","21455","20918","183","354"
"ROW36","36","Villupuram","15485","15271","101","113"
"ROW37","37","Virudhunagar","16862","16587","43","232"
"ROW38","38","Airport Surveillance (International)","974","966","7","1"
"ROW39","39","Airport Surveillance (Domestic)","1051","1046","4","1"
"ROW40","40","Railway Surveillance","428","428","0","0"
